Method,Name,Error,Occurrences
POST,/api/auth/login,CatchResponseError('Failed to log in and get JWT token'),22
POST,/api/chat,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",85
